Name,Weight
顾里,673
南湘,382
唐宛如,290
顾源,289
简溪,258
宫洺,168
Kitty,129
Neil,95
卫海,94
席城,54
林萧,53
崇光,47
叶传萍,15
凯蒂,11
袁艺,10
郭敬明,8
顾延盛,6
林泉,6
周崇光,4
